Roll,Math,Physics,Chemistry,Computer Science
1,20,44,45,33
2,64,88,72,30
3,60,35,62,39
4,30,35,31,41
5,80,60,95,32
6,84,59,92,50
7,65,79,23,79
8,66,23,38,35
9,70,39,100,95
10,99,66,65,80
11,49,22,54,36
12,29,79,28,100
13,83,73,33,40
14,55,35,48,84
15,83,83,68,53
16,64,43,75,59
17,41,98,94,67
18,61,46,99,38
19,23,24,57,36
20,82,82,68,72
21,31,88,23,20
22,59,57,51,20
23,20,51,25,38
24,98,68,39,69
25,44,66,29,83
26,49,57,23,77
27,24,20,67,70
28,83,59,58,92
29,93,65,92,92
30,93,66,80,72
31,21,80,72,84
32,21,43,43,95
33,51,98,32,85
34,44,66,30,22
35,67,82,24,58
36,76,97,24,40
37,48,34,83,59
38,72,56,53,25
39,48,80,47,53
40,47,54,88,60
41,33,54,99,82
42,65,67,39,57
43,63,90,40,90
44,37,51,57,79
45,52,20,71,78
46,82,98,28,95
47,78,36,75,35
48,49,22,79,24
49,54,60,53,63
50,85,45,29,57
51,92,80,59,78
52,27,93,20,29
53,48,64,100,59
54,80,74,33,69
55,92,29,69,52
56,43,68,30,50
57,60,40,76,99
58,100,92,38,97
59,80,57,26,55
60,95,90,22,100
61,85,37,66,96
62,44,88,71,77
63,62,45,50,26
64,83,44,61,81
65,90,84,45,46
66,21,74,99,97
67,35,65,30,20
68,31,27,55,62
69,44,43,56,69
70,69,89,64,97
71,100,22,34,99
72,78,70,43,57
73,36,26,99,86
74,94,85,91,82
75,70,62,87,70
76,67,33,86,32
77,51,31,98,58
78,74,95,50,37
79,45,46,97,76
80,26,74,31,61
81,67,42,48,74
82,38,95,61,100
83,99,44,63,70
84,92,74,92,25
85,26,39,38,60
86,65,53,98,89
87,64,27,32,53
88,93,21,26,80
89,54,30,58,54
90,30,46,22,52
91,75,53,77,59
92,43,81,96,80
93,68,45,39,50
94,83,27,61,82
95,80,60,71,82
96,35,87,60,63
97,44,22,75,91
98,57,88,69,47
99,93,61,54,83
100,91,69,52,28
